,label,企业名称,所在城市,经营业务范围,统一信用代码
0,高端装备制造,济南二机床集团有限公司技术中心,山东省,"道路货物运输(普通货运);三类汽车维修(车身清洁维护);第一类压力容器、第二类低中压容器的设计、制造、销售,工业氧气(以上经营项目有效期限以许可证为准);金属成型机床设备、金属切削机床设备、工业自动控制系统装置、铸造机械设备、金属切割及焊接设备、建材及环境保护专用设备、机床附件、配电开关控制设备、塑料工业设备、包装机械设备、模具的设计、制造、销售;机床设备安装调试、维修改造;A级起重机械安装、GC2压力管道安装(以上凭资质证经营);机械零部件加工;金属材料、铸件、五金交电、橡胶制品、木制品、工夹量仪、汽车、汽车配件的销售;进出口业务;装卸服务;机械设备技术开发;企业管理咨询;计算机信息技术服务;软件开发;检测技术服务;经济贸易代理;职业技能鉴定;房屋租赁;场地租赁;物业管理服务;会议会展服务;分支机构经营:金属材料的焊接、锻造和热处理;提供培训场地、住宿,餐饮,酒水、卷烟的零售(以上凭许可证经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
1,信息产业,浪潮集团有限公司技术中心,山东省,"商用密码产品的开发、生产、销售(有效期限以许可证为准);计算机及软件、电子及通信设备(不含无线电发射设备)的生产、销售;许可证范围内的进出口业务;电器机械、五金交电销售;计算机应用、出租及计算机人员培训服务;智能化工程设计、施工(凭资质证书经营);集成电路、半导体发光材料、管芯器件及照明应用产品的设计、开发、生产、销售、安装施工;房屋租赁、物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
2,医养健康,鲁南制药集团股份有限公司技术中心,山东省,"生产销售原料药、包装物品等(依法须经批准的项目,经相关部门批准后方可开展经营活动,有效期以许可证为准)。",-
3,高端装备制造,济南轻骑摩托车有限公司技术中心,山东省,"摩托车及零配件的设计、开发、生产、销售;摩托车技术咨询、服务、引进、转让;房屋租赁;进出口业务(国家法律法规禁止的项目除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
4,高端化工,万华化学集团股份有限公司技术中心,山东省," 安全生产许可证范围内化学危险品的生产;许可证范围内铁路专用线经营;丙烷、正丁烷(带有存储设施的)经营、仓储经营(以上经营项目有效期限以许可证为准)。聚氨酯及助剂、异氰酸酯及衍生产品的开发、技术服务及相关技术人员培训;批准范围内的自营进出口业务;化工产品(不含危险化学品)销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
5,信息产业,东方电子集团有限公司技术中心,山东省," 计算机及外部设备、电力自动化及工业自动化控制系统、电子产品及通讯设备、电子元器件、计算机软硬件、机房设施、仪器仪表、汽车电器的开发、生产、销售及技术咨询服务;机械工程、塑料注塑模具和注塑件、建筑智能化及建筑节能工程设计与施工;新能源汽车充换电设备的研发、生产、销售和服务;地面卫星接收站、绕线机、铣曲机、衡器的制造、销售;节能技术的研发、运维、服务、转让;光伏发电的设计、研发、建设、维护及技术咨询;售电业务;进出口业务及对外经济技术合作业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
7,高端装备制造,滨州渤海活塞有限公司技术中心,山东省,"活塞的生产销售;机械零部件的生产销售;汽车、内燃机、压缩机及摩托车零部件的生产销售;汽车(不含小轿车)销售;铝及铝制品的生产销售;机床设备及配件的生产销售;备案范围内的进出口业务;润滑油、齿轮油的销售(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
8,高端化工,山东晨鸣纸业集团股份有限公司技术中心,山东省,"机制纸、纸板等纸品和造纸原料、造纸机械的生产加工、销售。国家禁止外商投资的行业除外,国家限制外商投资的行业或有特殊规定的,须依法履行相关程序。(依法须经批准的项目,经相关部门批准后方可开展经营活动,有效期以许可证为准)",-
9,能源原材料,山推工程机械股份有限公司技术中心,山东省,"建筑工程机械、矿山机械、农田基本建设机械、收获机械及配件的研究、开发、制造、销售、租赁、维修及技术咨询服务;房屋、场地出租。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
10,高端装备制造,济南第一机床有限公司技术中心,山东省,"机床设备及配件、附件的设计、制造、销售及技术咨询;计算机软硬件及配套产品、网络工程的开发、销售和维修;货物进出口,技术进出口。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
11,高端装备制造,山东钢铁股份有限公司技术中心,山东省,"许可证批准范围内的危险化学品生产、销售(禁止储存)、焦炉煤气供应,发电,供热;供水(限分支机构经营)。(以上项目有效期限以许可证为准)。钢铁冶炼、加工及技术咨询服务,钢材、大锻件、焦炭及炼焦化产品、水渣和炼钢副产品的生产及销售,铁矿石及类似矿石销售,自营进出口业务;专用铁路运输。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
12,高端装备制造,济南试金集团有限公司技术中心,山东省," 制造、加工、自销:仪器仪表,文化办公用机械,普通机械,电气机械及器材,金属制品;批发零售:国内贸易;社会经济咨询(不含金融、证券、期货投资咨询、中介服务);房屋租赁、中介服务;机械设备租赁;进出口业务。 (依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
13,高端装备制造,中国重型汽车集团有限公司技术中心,山东省,"公路运输。(有效期限以许可证为准)。组织本集团成员开发研制、生产销售各种载重汽车、特种汽车、军用汽车、客车、专用车、改装车、发动机及机组、汽车零配件、专用底盘;集团成员生产所需的物资供应及销售。机械加工;科技开发、咨询及售后服务;润滑油销售;许可范围内的进出口业务(限本集团的进出口公司)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
14,医养健康,山东新华制药股份有限公司技术中心,山东省," 生产、批发、零售西药、化工原料、食品添加剂、保健食品、固体饮料、兽用药品、鱼油、制药设备、医药检测仪器及仪表;自行研制开发项目的技术转让、服务、技术咨询、技术培训;批发、零售中药材、中药饮片、医疗器械(Ⅰ、Ⅱ、Ⅲ类)、隐形眼镜及护理液、检测试纸(剂)、保健食品、母\婴用品、乳制品(含婴幼儿配方奶粉)、化妆品、洗涤用品、预包装食品、散装食品、日用百货、初级农产品、海鲜、成人计生类产品;销售化学原料药、化工产品、化学试剂、医药中间体(以上三项不含危险、易制毒化学品);进出口业务;仓储服务(不含危险品);互联网信息咨询与服务;电商代运营(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",-
15,能源原材料,兖矿集团有限公司技术中心,山东省,"以自有资金对外投资、管理及运营;投资咨询;期刊出版,有线广播及电视的安装、开通、维护和器材销售;许可证批准范围内的增值电信业务;对外承包工程资质证书批准范围内的承包与实力、规模、业绩相适应的国外工程项目及对外派遣实施上述境外工程所需的劳务人员;(以下仅限分支机构经营):煤炭开采、洗选、销售;热电、供热及发电余热综合利用;公路运输;木材加工;水、暖管道安装、维修;餐饮、旅馆;水的开采及销售; 黄金、贵金属、有色金属的地质探矿、开采、选冶、加工、销售及技术服务。广告业务;机电产品、服装、纺织及橡胶制品的销售;备案范围内的进出口业务;园林绿化;房屋、土地、设备的租赁;煤炭、煤化工及煤电铝技术开发服务;建筑材料、硫酸铵(白色结晶粉末)生产、销售;矿用设备、机电设备、成套设备及零配件的制造、安装、维修、销售;装饰装修;电器设备安装、维修、销售;通用零部件、机械配件、加工及销售;污水处理及中水的销售;房地产开发、物业管理;日用百货、工艺品、金属材料、燃气设备销售;铁路货物(区内自备)运输。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",-
