,公司名称,经营范围,省份,所属地区,企业简介,新动能条款,企业分类
0,济南二机床集团有限公司技术中心,"道路货物运输(普通货运);三类汽车维修(车身清洁维护);第一类压力容器、第二类低中压容器的设计、制造、销售,工业氧气(以上经营项目有效期限以许可证为准);金属成型机床设备、金属切削机床设备、工业自动控制系统装置、铸造机械设备、金属切割及焊接设备、建材及环境保护专用设备、机床附件、配电开关控制设备、塑料工业设备、包装机械设备、模具的设计、制造、销售;机床设备安装调试、维修改造;A级起重机械安装、GC2压力管道安装(以上凭资质证经营);机械零部件加工;金属材料、铸件、五金交电、橡胶制品、木制品、工夹量仪、汽车、汽车配件的销售;进出口业务;装卸服务;机械设备技术开发;企业管理咨询;计算机信息技术服务;软件开发;检测技术服务;经济贸易代理;职业技能鉴定;房屋租赁;场地租赁;物业管理服务;会议会展服务;分支机构经营:金属材料的焊接、锻造和热处理;提供培训场地、住宿,餐饮,酒水、卷烟的零售(以上凭许可证经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",山东,济南,"始建于1937年，中国机床工具行业“十八罗汉”厂之一。
-企业性质：国有独资，占地面积：101万平方米，现有员工：4700余名；下设7部1室，19个专业分公司。
-中国520家重点企业之一，2005年度中国机械500强、中国机械500大企业，山东省制造业信息化示范企业，
蝉联“中国企业信息化500强”。
-中国规模最大、品类最全、实力最强的锻压设备和大、重型金属切削机床制造企业。
-2005年度中国机床工具行业“产品销售收入”、“数控产值”、“出口创汇”、“精心创品牌活动”十佳
企业。
-2005年机械压力机产品“荣膺中国名牌”称号，大、重型锻压设备国内市场占有率达70%以上。产品出口50
多个国家和地区。
-拥有国家级企业技术中心，2006年被国家科技部认定为首批118家“国家级企业研究开发中心”之一。
-每年自主研发近百个新产品，“数控机械压力机技术”为山东省2005年度20个“泰山学者”岗位之一。
-企业及所属技工学校被指定为全国高技能人才培训基地，是山东省唯一拥有两个培训基地的企业。在现有
2400名技术工人中，高级工比例占50%以上，高级技师、技师比例占10%。
-通过ISO9001:2000版质量体系认证。",,高端装备制造
1,浪潮集团有限公司技术中心,"商用密码产品的开发、生产、销售(有效期限以许可证为准);计算机及软件、电子及通信设备(不含无线电发射设备)的生产、销售;许可证范围内的进出口业务;电器机械、五金交电销售;计算机应用、出租及计算机人员培训服务;智能化工程设计、施工(凭资质证书经营);集成电路、半导体发光材料、管芯器件及照明应用产品的设计、开发、生产、销售、安装施工;房屋租赁、物业管理。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",山东,济南,"浪潮是中国领先的云计算整体解决方案供应商和云服务商，已经形成涵盖IaaS、PaaS、SaaS三个层面的整体解决方案服务能力，凭借浪潮高端服务器、海量存储、云操作系统、信息安全技术为客户打造领先的云计算基础架构平台，基于浪潮政务、企业、行业信息化软件、终端产品和解决方案，全面支撑智慧政府、企业云、垂直行业云建设。

浪潮集团拥有浪潮信息、浪潮软件、浪潮国际三家上市公司，业务涵盖系统与技术、软件与服务、半导体三大产业群组，为全球五十多个国家和地区提供IT产品和服务，全方位满足政府与企业信息化需求，位列2013年中国电子信息产业百强第11位，综合实力位居中国IT企业前两位、中国自主品牌软件厂商第一位、中国自主品牌IT服务商第二位、中国大企业集团竞争力500强第三位，是全国四家拥有计算机信息系统集成特一级资质的企业之一，先后获得""云计算创新典范企业奖""、""云计算客户示范应用示范奖""以及""信息产业云计算突出贡献奖""等重要荣誉。浪潮服务器连续18年蝉联国有品牌销量第一，浪潮存储连续10年蝉联国有品牌销量第一；浪潮集团管理软件连续11年市场占有率第一。

多年来，浪潮始终以超前的技术和独特的软硬件综合实力，在中国IT品牌中独树一帜，并在中国信息产业发展的关键阶段，引领中国信息产业的发展。

浪潮是中国最早的IT品牌之一。上世纪六十年代，浪潮的前身——山东电子设备厂在开始生产计算机外围设备和低频大功率电子管。1970年，中国第一颗人造卫星""东方红1号""就采用了浪潮生产的晶体管作为电子元件。

由此，浪潮开始了40余年以技术创新为本的IT征程。浪潮历程一直秉承创新的理念，数次在中国信息产业发展的重要历史阶段，以极具前瞻性的技术突破引领中国IT产业的发展。",,信息产业
2,鲁南制药集团股份有限公司技术中心,"生产销售原料药、包装物品等(依法须经批准的项目,经相关部门批准后方可开展经营活动,有效期以许可证为准)。",山东,临沂,,,医养健康
3,济南轻骑摩托车有限公司技术中心,"摩托车及零配件的设计、开发、生产、销售;摩托车技术咨询、服务、引进、转让;房屋租赁;进出口业务(国家法律法规禁止的项目除外)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",山东,济南,济南轻骑摩托车是中国兵器装备集团的全资子公司，公司性质属于大型国有企业。是一家主营摩托车及其零配件的生产制造企业，在摩托车行业占有领先地位。,,高端装备制造
4,万华化学集团股份有限公司技术中心," 安全生产许可证范围内化学危险品的生产;许可证范围内铁路专用线经营;丙烷、正丁烷(带有存储设施的)经营、仓储经营(以上经营项目有效期限以许可证为准)。聚氨酯及助剂、异氰酸酯及衍生产品的开发、技术服务及相关技术人员培训;批准范围内的自营进出口业务;化工产品(不含危险化学品)销售。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",山东,烟台,"万华化学集团股份有限公司（简称“万华化学”），前身为烟台万华聚氨酯股份有限公司，成立于1998年12月20日，2001年1月5日上市（股票代码600309），是山东省第一家先改制后上市的股份制公司。 

主要从事MDI为主的异氰酸酯系列产品、芳香多胺系列产品、热塑性聚氨酯弹性体系列产品的研发、生产和销售，是中国唯一一家拥有MDI制造技术自主知识产权的企业。其中MDI产品是制备聚氨酯的最主要原料之一，聚氨酯具有橡胶、塑料的双重优点，广泛应用于化工、轻工、纺织、建筑、家电、建材、交通运输、航天等领域。目前，公司共有三套MDI装置，产品质量和单位消耗均达到国际先进水平，是亚太地区最大的MDI供应商。2013年，为实现“中国万华向全球万华转变，万华聚氨酯向万华化学转变”的战略，公司正式更名为“万华化学集团股份有限公司”。未来，万华化学业务将由单一异氰酸酯产品扩展到涵盖多种异氰酸酯、多元醇等聚氨酯全系列产品，同时进入丙烯酸及酯等石化产品领域、水性涂料等功能性材料、特种化学品领域，成为最具竞争优势的聚氨酯、石化产品、功能性材料、特种化学品供应商。

自2005国际化战略布局开始，万华化学已初步搭建了国际化雏形，在国内，烟台、宁波、北京、上海、珠海的研发和生产基地已逐渐成型；在国外，美国、荷兰、日本、印度等十余个国家和地区均设有法人公司和办事处；2011年，万华化学托管匈牙利BC公司，标志着万华化学的国际化进程又迈出了里程碑式的一步。

作为一家中国上市公司，万华化学在2004-2006连续三年入选《新财经》中国版漂亮50-中国最具成长性的A股蓝筹公司；2006年被CCTV经济频道评选为“2005年最具价值上市公司”；2007年荣获“2007·CCTV中国年度最佳雇主”称号，并凭借“年产20万吨大规模MDI生产技术开发及产业化”项目，一举获得2007年“国家科技进步一等奖”；2008年，公司宁波万华16万吨/年MDI工程获评“国家环境友好工程”；2009年聚氨酯行业内唯一的国家级工程技术研究中心正式落户万华化学；2009年，宁波万华年产16万吨MDI工程摘得“国家优质工程金质奖”殊荣；2010年，“烟台万华科技创新系统工程”项目获国家科技进步二等奖；2009年、2011年、2013年公司三次荣获“翰威特中国最佳雇主”大奖；2011年，公司“宁波MDI产业化工程”项目获得第二届“中国工业大奖表彰奖”；2012年，宁波万华工业园被工信部确定为浙江省首个全国工业循环经济重大示范工程；2012年，万华化学入选创新型百强企业前三强；“新型光气化反应制MDI关键技术”荣获2012年山东省科技进步一等奖；“旋转填充床反应器强化新技术”项目获得了2012年国家技术发明二等奖。",,高端化工
5,东方电子集团有限公司技术中心," 计算机及外部设备、电力自动化及工业自动化控制系统、电子产品及通讯设备、电子元器件、计算机软硬件、机房设施、仪器仪表、汽车电器的开发、生产、销售及技术咨询服务;机械工程、塑料注塑模具和注塑件、建筑智能化及建筑节能工程设计与施工;新能源汽车充换电设备的研发、生产、销售和服务;地面卫星接收站、绕线机、铣曲机、衡器的制造、销售;节能技术的研发、运维、服务、转让;光伏发电的设计、研发、建设、维护及技术咨询;售电业务;进出口业务及对外经济技术合作业务。(依法须经批准的项目,经相关部门批准后方可开展经营活动)",山东,烟台,,,信息产业
6,烟台东方威斯顿电气有限公司技术中心,,山东,,,,信息产业
7,滨州渤海活塞有限公司技术中心,"活塞的生产销售;机械零部件的生产销售;汽车、内燃机、压缩机及摩托车零部件的生产销售;汽车(不含小轿车)销售;铝及铝制品的生产销售;机床设备及配件的生产销售;备案范围内的进出口业务;润滑油、齿轮油的销售(依法须经批准的项目,经相关部门批准后方可开展经营活动)",山东,滨州,,,高端装备制造
8,山东晨鸣纸业集团股份有限公司技术中心,"机制纸、纸板等纸品和造纸原料、造纸机械的生产加工、销售。国家禁止外商投资的行业除外,国家限制外商投资的行业或有特殊规定的,须依法履行相关程序。(依法须经批准的项目,经相关部门批准后方可开展经营活动,有效期以许可证为准)",山东,寿光,"山东晨鸣纸业集团股份有限公司是以造林、制浆、造纸为主业的大型企业集团，全国首家A、B、H三种股票上市公司，拥有武汉晨鸣、湛江晨鸣、江西晨鸣、吉林晨鸣等10多家生产子公司。总资产500多亿元，年纸品生产能力实现600万吨，进入中国企业500强和世界纸业30强，被评为中国上市公司百强企业和中国最具竞争力的50家蓝筹公司之一， “晨鸣”商标被认定为中国驰名商标。


目前，集团拥有国家级技术中心、博士后科研工作站及多条国际一流水平的造纸生产线，主导产品为高档铜版纸、白卡纸、轻涂纸、新闻纸、双胶纸、电话号簿纸、静电复印纸、箱板纸、书写纸、高密度纤维板、强化木地板等，其中7个产品被评为“国家级新产品”，23个产品填补国内空白，4种产品列入“国家免检产品”，产品远销英国、日本、美国、澳大利亚等50多个国家和地区。企业经济效益主要指标连续10多年保持全国同行业首位，在全国同行业率先通过ISO9001质量体系认证、ISO14001环保体系认证和FSC-COC体系认证，先后荣获全国五一劳动奖状、轻工业全国十佳企业、中国企业管理杰出贡献奖、全国精神文明建设先进单位等省级以上荣誉称号150余项。


面对全球经济一体化的机遇和挑战，晨鸣集团致力于建设绿色生态、持续发展的国际一流造纸企业，以发展为主题，以创新为动力，大力实施国际化战略，努力把企业做强做大，两三年内，公司产能、效益实现翻番，跻身世界造纸行业前列。",,高端化工
9,山推工程机械股份有限公司技术中心,"建筑工程机械、矿山机械、农田基本建设机械、收获机械及配件的研究、开发、制造、销售、租赁、维修及技术咨询服务;房屋、场地出租。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。",山东,济宁,"山推工程机械股份有限公司创建于1980年，是集研发、生产、销售铲土运输机械、路面及压实机械、建筑机械、工程起重机械等工程机械系列主机产品及关键零部件于一体的国家大型一类骨干企业，国有股份制上市公司。总部在山东省济宁市。全球建设机械制造商50强、中国制造业500强。1997年1月“山推股份”在深交所挂牌上市（股票代码:000680），入选沪深300指数股。2009年6月，山东重工集团成立，山推股份成为其权属子公司。作为中国工程机械行业的中坚力量，一直保持着行业排头兵地位。



山推股份完成相关多元化产业布局。国内已形成山推国际事业园、山推崇文产业园、山推武汉产业园、山推抚顺产业园、山推泰安产业园、山推济南产业园、山推新疆产业园七大产业基地，总占地面积达3900亩。



山推股份始终注重技术创新和可持续发展。研发能力、制造能力、产品质量均处于国内领先和贴近国际先进水平。拥有国家级技术中心、山东省工程技术研究中心和博士后科研工作站等创新平台。主要产品包括推土机系列、道路机械系列、混凝土机械系列、装载机系列、消防车系列、高空作业车系列、起重机系列等13大类主机产品，底盘件、传动部件、结构件、铸造件、液压油缸等工程机械配套件，其中，山推牌推土机成为中国第一品牌，荣获全国推土机行业唯一一枚金质奖章。现年生产能力已达到1.5万台推土机、7000台道路机械、5000台混凝土机械、18万条履带总成、16万台液力变矩器、5万台变速箱、140万件工程机械“四轮”。



山推股份拥有健全的销售体系，完善的销售服务网络，产品遍及全国，远销海外150多个国家和地区。目前，全国建有26家山推专营店，设有150个营销网点。国际化战略稳步推进，已发展71家海外代理商，在阿联酋、南非、俄罗斯、巴西等地建立10家海外子公司。 在营销服务模式上，注重“价值引领、服务共赢”的原则，引入领跑行业服务承诺、质量追踪、用户关爱等先进理念，第一时间为客户提供成套设备施工解决方案，人性化、准时化的优质服务赢得了客户的口碑，提升了企业的品牌价值。



未来，山推工程机械股份公司将发展成为拥有核心技术，具有国际竞争力，可持续发展的工程机械制造商。",,能源原材料
