,人员规模,企业地址,公司名,公司类型,参保人数,实缴资本,成立日期,所属地区,所属行业,曾用名,核准日期,注册号,注册号公司名,注册资本,登记机关,纳税人识别号,组织机构代码,经营方式,经营状态,经营范围,统一社会信用,统一社会信用代码,英文名,营业期限
0,-,安丘市大城埠市场圣家A区13号查看地图附近公司,刘向岗在业,个体,,-,2013-11-29,山东省,-,-,2013-11-29,370784610043000,,-,安丘市工商行政管理局,-,-,-,在营（开业）企业,批发、零售,,-,-,***至无固定期限
1,-,安丘市兴安街道办张家楼村东查看地图附近公司,安丘市兴建新型装饰材料制品厂吊销,个人独资企业,-,320万人民币元,2003-10-31,山东省,制造业,-,2003-10-31,3707842901237,,320万人民币元,安丘市市场监督管理局,-,75544236-8,,吊销,加工、销售,,-,-,2003-10-31至无固定期限
2,-,山东省潍坊市安丘市兴安街道和平路东南街便民市场查看地图附近公司,安丘市浩红小吃铺存续,个体工商户,,-,2016-11-10,山东省,-,-,2016-11-10,370784610258407,,-,安丘市市场监督管理局,-,-,-,存续,小吃服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,,-,-,***至无固定期限
3,-,滨州市滨城区彭李办事处大河王村查看地图附近公司,滨州市滨城区建利纸制品批发部存续,个体工商户,,-,2008-03-13,山东省,批发和零售业,-,2013-03-18,371602600131657,,-,滨州市滨城区工商行政管理局,-,-,-,存续,纸制品（需许可经营的凭许可证经营）,,-,-,***至无固定期限
4,-,滨州市渤海七路888号中兴瑄嘉名都查看地图附近公司,滨州市滨城区倩倩化妆品店存续,个体工商户,,-,2011-05-11,山东省,批发和零售业,-,2011-05-11,371602600263031,,-,滨州市滨城区工商行政管理局,-,-,-,存续,化妆品,,-,-,***至无固定期限
5,-,山东省滨州市滨城区滨北办事处柳家村查看地图附近公司,滨州市滨城区连合天天早餐在业,个体工商户,,-,2015-07-10,山东省,住宿和餐饮业,-,2015-07-10,371602600466078,,-,滨州市滨城区工商行政管理局,-,-,-,在营（开业）企业,中餐类制售（依法须经批准的项目，经相关部门批准后方可开展经营活动）,,-,-,***至无固定期限
6,-,博兴县湖滨镇寨卞村查看地图附近公司,博兴县翔翔日用品店在业,个人独资企业,-,-,2016-04-01,山东省,批发和零售业,-,2016-04-01,371625300039458,,-,滨州市博兴县工商行政管理局,91371625MA3C8FEG8Y,MA3C8FEG-8,,在营（开业）企业,日用品、百货零售、咨询服务(依法须经批准的项目经相关部门批准后方可开展经营活动),,91371625MA3C8FEG8Y,-,***至无固定期限
7,-,博兴县锦秋办事处西闸村转盘南50米路西查看地图附近公司,博兴县锦秋办事处兆喜粮油店在业,个体工商户,,-,2016-11-17,山东省,-,-,2016-11-17,371625600398059,,-,滨州市博兴县工商行政管理局,-,-,-,在营（开业）企业,粮油、酱菜、预包装食品、散装食品批发零售;烟零售(依法须经批准的项目经相关部门批准后方可开展经营活动经营期限以许可证为准),,-,-,***至无固定期限
8,-,山东省滨州市博兴县城东街道办事处赵楼村沿街房查看地图附近公司,博兴县城东街道办事处旺客利快餐店在业,个体工商户,,-,2018-06-25,山东省,-,-,2018-06-25,-,,-,滨州市博兴县工商行政管理局,92371625MA3M21J66M,-,-,在营（开业）企业,快餐服务(依法须经批准的项目经相关部门批准后方可开展经营活动)(不得从事本地产业政策禁止和限制类项目的经营活动),,92371625MA3M21J66M,-,***至无固定期限
9,-,山东省滨州市博兴县经济开发区兴工五路东、福源二路南侧查看地图附近公司,博兴县汇景苗木种植专业合作社在业,农民专业合作经济组织,-,-,2016-05-17,山东省,农、林、牧、渔业,-,2016-05-17,371625NA000955X,,50万人民币元,滨州市博兴县工商行政管理局,93371625MA3CAPCF5C,MA3CAPCF-5,,在营（开业）企业,组织成员开展苗木栽培、农作物的种植活动为成员提供生产资料购买农产品销售服务。((依法须经批准的项目经相关部门批准后方可开展经营活动),,93371625MA3CAPCF5C,-,***至无固定期限
10,-,清怡市场查看地图附近公司,滨州市滨城区乐乐童装店吊销,个体,,-,2005-11-29,山东省,-,-,2005-11-29,3716023017211,,-,滨州市工商行政管理局滨城分局,-,-,-,吊销企业,童装、童鞋,,-,-,***至无固定期限
11,-,滨州市开发区黄河八路以南开元路以西查看地图附近公司,滨州市千红置业有限公司在业,有限责任公司(自然人投资或控股),-,1000万人民币元,2010-07-26,山东省,房地产业,-,2017-06-13,371600200016441,,1000万人民币元,滨州市工商行政管理局,913716005589426387,55894263-8,,在营（开业）企业,房地产开发(依法须经批准的项目经相关部门批准后方可开展经营活动),,913716005589426387,-,2010-07-26至无固定期限
12,-,山东省滨州市滨城区黄河十二路942号广珠大厦13号楼201查看地图附近公司,山东国盾易典电子商务有限公司在业,有限责任公司(自然人投资或控股),-,-,2015-02-10,山东省,批发和零售业,-,2016-04-11,371600200051182,,1000万人民币元,滨州市工商行政管理局,91371600328479166P,32847916-6,,在营（开业）企业,网上销售家用电器、通讯器材、计算机软件及辅助设备、化工产品(不含化学危险品、不含监控化学危险品、不含易制毒化学危险品)、机械设备、化妆品、保健品、工艺品、日用品;家用电器、通讯器材、计算机软件及辅助设备、机械设备维修;企业营销策划;组织文化艺术交流活动;承办展览展示活动;会务服务(不含食宿);房地产开发经营;矿产品销售(依法须经批准的项目经相关部门批准后方可开展经营活动),,91371600328479166P,-,2015-02-10至无固定期限
13,-,流动查看地图附近公司,何兆法吊销,个体,,-,2006-10-08,山东省,-,-,2006-10-08,371627600013410,,-,滨州市经济开发区市场监督管理局,-,-,-,吊销企业,农副产品购销(需凭许可证经营的凭许可证经营),,-,-,***至无固定期限
14,-,无棣县西小王镇政府驻地北侧查看地图附近公司,无棣县棣泰粮食贸易有限公司在业,有限责任公司(自然人投资或控股),-,-,2016-11-03,山东省,批发和零售业,-,2018-06-04,371623200043475,,500万人民币元,滨州市无棣县市场监督管理局,91371623MA3CKX010L,MA3CKX01-0,,在营（开业）企业,小麦、玉米、大豆、高粱、稻谷、包装编织袋购销、加工;面粉、饲料购销(依法须经批准的项目经相关部门批准后方可开展经营活动)。,,91371623MA3CKX010L,-,2016-11-03至无固定期限
